,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Nikita Kucherov,31,TBL,RW,78,37,84,121,22,45,29,8,0,9,46,38,0,265,14.0,550,1652:47,21:11,1,1,50.0,33,23,30,122,ASnhl-1Hart-3Ross-1Pearson-1,kucheni01
2,Nathan MacKinnon,29,COL,C,79,32,84,116,25,41,23,9,0,5,55,29,0,320,10.0,590,1799:49,22:47,756,758,49.9,58,38,27,121,ASnhl-1Hart-4Selke-29,mackina01
3,Leon Draisaitl,29,EDM,C,71,52,54,106,32,34,36,16,0,11,37,17,0,240,21.7,416,1527:44,21:31,650,546,54.3,27,23,35,88,ASnhl-2ASnhl-7ASnhl-8Byng-24Hart-2Richard-1Selke-6,draisle01
4,David Pastrňák,28,BOS,RW,82,43,63,106,0,42,34,9,0,4,49,14,0,319,13.5,624,1655:16,20:11,3,5,37.5,24,58,40,118,ASnhl-2Hart-11,pastrda01
5,Mitch Marner,27,TOR,RW,81,27,75,102,18,14,20,6,1,7,47,27,1,173,15.6,393,1726:33,21:19,10,24,29.4,40,49,56,106,ASnhl-3ASnhl-11Byng-8Hart-13Selke-7,marnemi01
6,Connor McDavid,28,EDM,C,67,26,74,100,20,37,17,9,0,3,52,22,0,196,13.3,370,1476:06,22:02,370,406,47.7,18,40,32,74,ASnhl-3Byng-39Hart-10,mcdavco01
7,Kyle Connor,28,WPG,LW,82,41,56,97,17,25,30,9,2,8,37,19,0,267,15.4,484,1672:22,20:24,1,7,12.5,46,21,33,80,ASnhl-1Byng-15Hart-17,connoky01
8,Jack Eichel,28,VEG,C,77,28,66,94,32,8,22,5,1,3,36,29,1,233,12.0,403,1581:05,20:32,572,682,45.6,55,22,28,90,ASnhl-4Byng-3Hart-5Selke-5,eicheja01
9,Cale Makar,26,COL,D,80,30,62,92,28,14,16,12,2,4,38,23,1,246,12.2,623,2057:18,25:43,0,0,,128,51,60,113,ASnhl-1Byng-6Hart-6Norris-1,makarca01
10,Sidney Crosby,37,PIT,C,80,33,58,91,-20,31,21,12,0,10,43,15,0,227,14.5,415,1629:58,20:22,1016,766,57.0,39,67,29,86,ASnhl-5Byng-11Hart-18Selke-31,crosbsi01
11,Brandon Hagel,26,TBL,LW,82,35,55,90,33,58,32,0,3,4,40,11,4,228,15.4,444,1700:57,20:45,8,15,34.8,60,59,30,96,ASnhl-2Selke-9,hagelbr01
12,Clayton Keller,26,UTA,C,81,30,60,90,-12,28,20,10,0,5,33,27,0,218,13.8,445,1548:34,19:07,10,20,33.3,30,11,27,79,ASnhl-11,kellecl01
